Season,URL,Champion,AP_POY,full_url
2024-25 Summary,/cbb/seasons/men/2025.html,,,https://www.sports-reference.com/cbb/seasons/men/2025.html
2023-24 Summary,/cbb/seasons/men/2024.html,Connecticut,Zach Edey,https://www.sports-reference.com/cbb/seasons/men/2024.html
2022-23 Summary,/cbb/seasons/men/2023.html,Connecticut,Zach Edey,https://www.sports-reference.com/cbb/seasons/men/2023.html
2021-22 Summary,/cbb/seasons/men/2022.html,Kansas,Oscar Tshiebwe,https://www.sports-reference.com/cbb/seasons/men/2022.html
2020-21 Summary,/cbb/seasons/men/2021.html,Baylor,Luka Garza,https://www.sports-reference.com/cbb/seasons/men/2021.html
2019-20 Summary,/cbb/seasons/men/2020.html,,Obi Toppin,https://www.sports-reference.com/cbb/seasons/men/2020.html
2018-19 Summary,/cbb/seasons/men/2019.html,Virginia,Zion Williamson,https://www.sports-reference.com/cbb/seasons/men/2019.html
2017-18 Summary,/cbb/seasons/men/2018.html,Villanova,Jalen Brunson,https://www.sports-reference.com/cbb/seasons/men/2018.html
2016-17 Summary,/cbb/seasons/men/2017.html,North Carolina,Frank Mason,https://www.sports-reference.com/cbb/seasons/men/2017.html
2015-16 Summary,/cbb/seasons/men/2016.html,Villanova,Denzel Valentine,https://www.sports-reference.com/cbb/seasons/men/2016.html
2014-15 Summary,/cbb/seasons/men/2015.html,Duke,Frank Kaminsky,https://www.sports-reference.com/cbb/seasons/men/2015.html
2013-14 Summary,/cbb/seasons/men/2014.html,Connecticut,Doug McDermott,https://www.sports-reference.com/cbb/seasons/men/2014.html
2012-13 Summary,/cbb/seasons/men/2013.html,Louisville,Trey Burke,https://www.sports-reference.com/cbb/seasons/men/2013.html
2011-12 Summary,/cbb/seasons/men/2012.html,Kentucky,Anthony Davis,https://www.sports-reference.com/cbb/seasons/men/2012.html
2010-11 Summary,/cbb/seasons/men/2011.html,Connecticut,Jimmer Fredette,https://www.sports-reference.com/cbb/seasons/men/2011.html
2009-10 Summary,/cbb/seasons/men/2010.html,Duke,Evan Turner,https://www.sports-reference.com/cbb/seasons/men/2010.html
2008-09 Summary,/cbb/seasons/men/2009.html,North Carolina,Blake Griffin,https://www.sports-reference.com/cbb/seasons/men/2009.html
2007-08 Summary,/cbb/seasons/men/2008.html,Kansas,Tyler Hansbrough,https://www.sports-reference.com/cbb/seasons/men/2008.html
2006-07 Summary,/cbb/seasons/men/2007.html,Florida,Kevin Durant,https://www.sports-reference.com/cbb/seasons/men/2007.html
2005-06 Summary,/cbb/seasons/men/2006.html,Florida,J.J. Redick,https://www.sports-reference.com/cbb/seasons/men/2006.html
2004-05 Summary,/cbb/seasons/men/2005.html,North Carolina,Andrew Bogut,https://www.sports-reference.com/cbb/seasons/men/2005.html
2003-04 Summary,/cbb/seasons/men/2004.html,Connecticut,Jameer Nelson,https://www.sports-reference.com/cbb/seasons/men/2004.html
2002-03 Summary,/cbb/seasons/men/2003.html,Syracuse,David West,https://www.sports-reference.com/cbb/seasons/men/2003.html
2001-02 Summary,/cbb/seasons/men/2002.html,Maryland,Jay Williams,https://www.sports-reference.com/cbb/seasons/men/2002.html
2000-01 Summary,/cbb/seasons/men/2001.html,Duke,Shane Battier,https://www.sports-reference.com/cbb/seasons/men/2001.html
1999-00 Summary,/cbb/seasons/men/2000.html,Michigan State,Kenyon Martin,https://www.sports-reference.com/cbb/seasons/men/2000.html
1998-99 Summary,/cbb/seasons/men/1999.html,Connecticut,Elton Brand,https://www.sports-reference.com/cbb/seasons/men/1999.html
1997-98 Summary,/cbb/seasons/men/1998.html,Kentucky,Antawn Jamison,https://www.sports-reference.com/cbb/seasons/men/1998.html
1996-97 Summary,/cbb/seasons/men/1997.html,Arizona,Tim Duncan,https://www.sports-reference.com/cbb/seasons/men/1997.html
1995-96 Summary,/cbb/seasons/men/1996.html,Kentucky,Marcus Camby,https://www.sports-reference.com/cbb/seasons/men/1996.html
1994-95 Summary,/cbb/seasons/men/1995.html,UCLA,Joe Smith,https://www.sports-reference.com/cbb/seasons/men/1995.html
1993-94 Summary,/cbb/seasons/men/1994.html,Arkansas,Glenn Robinson,https://www.sports-reference.com/cbb/seasons/men/1994.html
1992-93 Summary,/cbb/seasons/men/1993.html,North Carolina,Calbert Cheaney,https://www.sports-reference.com/cbb/seasons/men/1993.html
1991-92 Summary,/cbb/seasons/men/1992.html,Duke,Christian Laettner,https://www.sports-reference.com/cbb/seasons/men/1992.html
1990-91 Summary,/cbb/seasons/men/1991.html,Duke,Shaquille O'Neal,https://www.sports-reference.com/cbb/seasons/men/1991.html
1989-90 Summary,/cbb/seasons/men/1990.html,Nevada-Las Vegas,Lionel Simmons,https://www.sports-reference.com/cbb/seasons/men/1990.html
1988-89 Summary,/cbb/seasons/men/1989.html,Michigan,Sean Elliott,https://www.sports-reference.com/cbb/seasons/men/1989.html
1987-88 Summary,/cbb/seasons/men/1988.html,Kansas,Hersey Hawkins Jr,https://www.sports-reference.com/cbb/seasons/men/1988.html
1986-87 Summary,/cbb/seasons/men/1987.html,Indiana,David Robinson,https://www.sports-reference.com/cbb/seasons/men/1987.html
1985-86 Summary,/cbb/seasons/men/1986.html,Louisville,Walter Berry,https://www.sports-reference.com/cbb/seasons/men/1986.html
1984-85 Summary,/cbb/seasons/men/1985.html,Villanova,Patrick Ewing,https://www.sports-reference.com/cbb/seasons/men/1985.html
1983-84 Summary,/cbb/seasons/men/1984.html,Georgetown,Michael Jordan,https://www.sports-reference.com/cbb/seasons/men/1984.html
1982-83 Summary,/cbb/seasons/men/1983.html,NC State,Ralph Sampson,https://www.sports-reference.com/cbb/seasons/men/1983.html
1981-82 Summary,/cbb/seasons/men/1982.html,North Carolina,Ralph Sampson,https://www.sports-reference.com/cbb/seasons/men/1982.html
1980-81 Summary,/cbb/seasons/men/1981.html,Indiana,Ralph Sampson,https://www.sports-reference.com/cbb/seasons/men/1981.html
1979-80 Summary,/cbb/seasons/men/1980.html,Louisville,Mark Aguirre,https://www.sports-reference.com/cbb/seasons/men/1980.html
1978-79 Summary,/cbb/seasons/men/1979.html,Michigan State,Larry Bird,https://www.sports-reference.com/cbb/seasons/men/1979.html
1977-78 Summary,/cbb/seasons/men/1978.html,Kentucky,Butch Lee,https://www.sports-reference.com/cbb/seasons/men/1978.html
1976-77 Summary,/cbb/seasons/men/1977.html,Marquette,Marques Johnson,https://www.sports-reference.com/cbb/seasons/men/1977.html
1975-76 Summary,/cbb/seasons/men/1976.html,Indiana,Scott May,https://www.sports-reference.com/cbb/seasons/men/1976.html
1974-75 Summary,/cbb/seasons/men/1975.html,UCLA,David Thompson,https://www.sports-reference.com/cbb/seasons/men/1975.html
1973-74 Summary,/cbb/seasons/men/1974.html,NC State,David Thompson,https://www.sports-reference.com/cbb/seasons/men/1974.html
1972-73 Summary,/cbb/seasons/men/1973.html,UCLA,Bill Walton III,https://www.sports-reference.com/cbb/seasons/men/1973.html
1971-72 Summary,/cbb/seasons/men/1972.html,UCLA,Bill Walton III,https://www.sports-reference.com/cbb/seasons/men/1972.html
1970-71 Summary,/cbb/seasons/men/1971.html,UCLA,Austin Carr,https://www.sports-reference.com/cbb/seasons/men/1971.html
1969-70 Summary,/cbb/seasons/men/1970.html,UCLA,Pete Maravich,https://www.sports-reference.com/cbb/seasons/men/1970.html
1968-69 Summary,/cbb/seasons/men/1969.html,UCLA,Kareem Abdul-Jabbar,https://www.sports-reference.com/cbb/seasons/men/1969.html
1967-68 Summary,/cbb/seasons/men/1968.html,UCLA,Elvin Hayes,https://www.sports-reference.com/cbb/seasons/men/1968.html
1966-67 Summary,/cbb/seasons/men/1967.html,UCLA,Kareem Abdul-Jabbar,https://www.sports-reference.com/cbb/seasons/men/1967.html
1965-66 Summary,/cbb/seasons/men/1966.html,UTEP,Cazzie Russell,https://www.sports-reference.com/cbb/seasons/men/1966.html
1964-65 Summary,/cbb/seasons/men/1965.html,UCLA,Bill Bradley,https://www.sports-reference.com/cbb/seasons/men/1965.html
1963-64 Summary,/cbb/seasons/men/1964.html,UCLA,Gary Bradds,https://www.sports-reference.com/cbb/seasons/men/1964.html
1962-63 Summary,/cbb/seasons/men/1963.html,Loyola (IL),Art Heyman,https://www.sports-reference.com/cbb/seasons/men/1963.html
1961-62 Summary,/cbb/seasons/men/1962.html,Cincinnati,Jerry Lucas,https://www.sports-reference.com/cbb/seasons/men/1962.html
1960-61 Summary,/cbb/seasons/men/1961.html,Cincinnati,Jerry Lucas,https://www.sports-reference.com/cbb/seasons/men/1961.html
1959-60 Summary,/cbb/seasons/men/1960.html,Ohio State,,https://www.sports-reference.com/cbb/seasons/men/1960.html
1958-59 Summary,/cbb/seasons/men/1959.html,California,,https://www.sports-reference.com/cbb/seasons/men/1959.html
1957-58 Summary,/cbb/seasons/men/1958.html,Kentucky,,https://www.sports-reference.com/cbb/seasons/men/1958.html
1956-57 Summary,/cbb/seasons/men/1957.html,North Carolina,,https://www.sports-reference.com/cbb/seasons/men/1957.html
1955-56 Summary,/cbb/seasons/men/1956.html,San Francisco,,https://www.sports-reference.com/cbb/seasons/men/1956.html
1954-55 Summary,/cbb/seasons/men/1955.html,San Francisco,,https://www.sports-reference.com/cbb/seasons/men/1955.html
1953-54 Summary,/cbb/seasons/men/1954.html,La Salle,,https://www.sports-reference.com/cbb/seasons/men/1954.html
1952-53 Summary,/cbb/seasons/men/1953.html,Indiana,,https://www.sports-reference.com/cbb/seasons/men/1953.html
1951-52 Summary,/cbb/seasons/men/1952.html,Kansas,,https://www.sports-reference.com/cbb/seasons/men/1952.html
1950-51 Summary,/cbb/seasons/men/1951.html,Kentucky,,https://www.sports-reference.com/cbb/seasons/men/1951.html
1949-50 Summary,/cbb/seasons/men/1950.html,City College of New York,,https://www.sports-reference.com/cbb/seasons/men/1950.html
1948-49 Summary,/cbb/seasons/men/1949.html,Kentucky,,https://www.sports-reference.com/cbb/seasons/men/1949.html
1947-48 Summary,/cbb/seasons/men/1948.html,Kentucky,,https://www.sports-reference.com/cbb/seasons/men/1948.html
1946-47 Summary,/cbb/seasons/men/1947.html,Holy Cross,,https://www.sports-reference.com/cbb/seasons/men/1947.html
1945-46 Summary,/cbb/seasons/men/1946.html,Oklahoma State,,https://www.sports-reference.com/cbb/seasons/men/1946.html
1944-45 Summary,/cbb/seasons/men/1945.html,Oklahoma State,,https://www.sports-reference.com/cbb/seasons/men/1945.html
1943-44 Summary,/cbb/seasons/men/1944.html,Utah,,https://www.sports-reference.com/cbb/seasons/men/1944.html
1942-43 Summary,/cbb/seasons/men/1943.html,Wyoming,,https://www.sports-reference.com/cbb/seasons/men/1943.html
1941-42 Summary,/cbb/seasons/men/1942.html,Stanford,,https://www.sports-reference.com/cbb/seasons/men/1942.html
1940-41 Summary,/cbb/seasons/men/1941.html,Wisconsin,,https://www.sports-reference.com/cbb/seasons/men/1941.html
1939-40 Summary,/cbb/seasons/men/1940.html,Indiana,,https://www.sports-reference.com/cbb/seasons/men/1940.html
1938-39 Summary,/cbb/seasons/men/1939.html,Oregon,,https://www.sports-reference.com/cbb/seasons/men/1939.html
1937-38 Summary,/cbb/seasons/men/1938.html,,,https://www.sports-reference.com/cbb/seasons/men/1938.html
1936-37 Summary,/cbb/seasons/men/1937.html,,,https://www.sports-reference.com/cbb/seasons/men/1937.html
1935-36 Summary,/cbb/seasons/men/1936.html,,,https://www.sports-reference.com/cbb/seasons/men/1936.html
1934-35 Summary,/cbb/seasons/men/1935.html,,,https://www.sports-reference.com/cbb/seasons/men/1935.html
1933-34 Summary,/cbb/seasons/men/1934.html,,,https://www.sports-reference.com/cbb/seasons/men/1934.html
1932-33 Summary,/cbb/seasons/men/1933.html,,,https://www.sports-reference.com/cbb/seasons/men/1933.html
1931-32 Summary,/cbb/seasons/men/1932.html,,,https://www.sports-reference.com/cbb/seasons/men/1932.html
1930-31 Summary,/cbb/seasons/men/1931.html,,,https://www.sports-reference.com/cbb/seasons/men/1931.html
1929-30 Summary,/cbb/seasons/men/1930.html,,,https://www.sports-reference.com/cbb/seasons/men/1930.html
1928-29 Summary,/cbb/seasons/men/1929.html,,,https://www.sports-reference.com/cbb/seasons/men/1929.html
1927-28 Summary,/cbb/seasons/men/1928.html,,,https://www.sports-reference.com/cbb/seasons/men/1928.html
1926-27 Summary,/cbb/seasons/men/1927.html,,,https://www.sports-reference.com/cbb/seasons/men/1927.html
1925-26 Summary,/cbb/seasons/men/1926.html,,,https://www.sports-reference.com/cbb/seasons/men/1926.html
